PLAYER,TEAM,Isolation,P&R Handler,P&R Roll,Transition,Post Up,Spot Up,HandOff,Cut,Season,Cluster
James Harden,HOU,0.487,0.221,0.0,0.133,0.009,0.032,0.036,0.014,2019,4
Paul George,OKC,0.134,0.245,0.014,0.206,0.036,0.117,0.054,0.019,2019,1
Giannis Antetokounmpo,MIL,0.155,0.076,0.05,0.256,0.12,0.114,0.018,0.08,2019,5
Joel Embiid,PHI,0.064,0.03,0.076,0.1,0.299,0.155,0.009,0.088,2019,3
LeBron James,LAL,0.175,0.281,0.023,0.214,0.082,0.059,0.014,0.037,2019,4
Stephen Curry,GSW,0.056,0.216,0.023,0.2,0.0,0.13,0.055,0.045,2019,1
Kawhi Leonard,TOR,0.165,0.268,0.0,0.178,0.094,0.111,0.044,0.024,2019,4
Devin Booker,PHX,0.125,0.345,0.0,0.197,0.04,0.068,0.049,0.028,2019,4
Kevin Durant,GSW,0.156,0.19,0.021,0.211,0.106,0.088,0.037,0.04,2019,1
Anthony Davis,NOP,0.077,0.014,0.141,0.13,0.183,0.118,0.014,0.098,2019,3
Damian Lillard,POR,0.137,0.447,0.0,0.109,0.0,0.052,0.109,0.031,2019,4
Kemba Walker,CHA,0.082,0.468,0.0,0.159,0.0,0.094,0.078,0.008,2019,4
Bradley Beal,WAS,0.094,0.253,0.0,0.209,0.005,0.133,0.064,0.053,2019,1
Blake Griffin,DET,0.13,0.187,0.063,0.081,0.264,0.104,0.023,0.027,2019,3
Karl-Anthony Towns,MIN,0.084,0.0,0.142,0.069,0.302,0.143,0.0,0.041,2019,3
Kyrie Irving,BOS,0.132,0.294,0.0,0.171,0.017,0.095,0.089,0.034,2019,4
Donovan Mitchell,UTA,0.081,0.445,0.0,0.131,0.0,0.12,0.083,0.017,2019,4
Zach LaVine,CHI,0.131,0.402,0.0,0.141,0.027,0.086,0.081,0.03,2019,4
Russell Westbrook,OKC,0.18,0.247,0.0,0.255,0.099,0.098,0.017,0.015,2019,4
Klay Thompson,GSW,0.046,0.04,0.011,0.182,0.052,0.134,0.071,0.075,2019,5
Julius Randle,NOP,0.122,0.028,0.067,0.175,0.163,0.169,0.011,0.092,2019,5
LaMarcus Aldridge,SAS,0.032,0.0,0.194,0.04,0.427,0.069,0.0,0.079,2019,3
DeMar DeRozan,SAS,0.187,0.365,0.0,0.097,0.1,0.077,0.04,0.03,2019,4
Luka Doncic,DAL,0.112,0.383,0.0,0.136,0.051,0.107,0.059,0.015,2019,4
